image,NV
ISIC_0024980,1.0
ISIC_0032478,1.0
ISIC_0027311,1.0
ISIC_0028680,0.0
ISIC_0024681,1.0
ISIC_0032730,0.0
ISIC_0034163,1.0
ISIC_0033431,0.0
ISIC_0031714,1.0
ISIC_0034101,0.0
ISIC_0028080,0.0
ISIC_0033787,1.0
ISIC_0025027,1.0
ISIC_0026775,0.0
ISIC_0026369,0.0
ISIC_0031750,1.0
ISIC_0027469,1.0
ISIC_0026219,0.0
ISIC_0025938,1.0
ISIC_0026190,1.0
ISIC_0026430,0.0
ISIC_0027491,1.0
ISIC_0025488,1.0
ISIC_0033927,1.0
ISIC_0026574,0.0
ISIC_0029052,0.0
ISIC_0025902,1.0
ISIC_0025812,1.0
ISIC_0032765,1.0
ISIC_0029351,1.0
ISIC_0024561,1.0
ISIC_0030132,1.0
ISIC_0026865,0.0
ISIC_0026971,1.0
ISIC_0024925,0.0
ISIC_0031381,0.0
ISIC_0026292,1.0
ISIC_0028532,1.0
ISIC_0030976,0.0
ISIC_0032866,0.0
ISIC_0033602,1.0
ISIC_0029080,0.0
ISIC_0031499,0.0
ISIC_0032742,1.0
ISIC_0032642,0.0
ISIC_0034247,1.0
ISIC_0029832,1.0
ISIC_0029471,1.0
ISIC_0031916,1.0
ISIC_0029309,0.0
ISIC_0026249,0.0
ISIC_0026555,1.0
ISIC_0030463,0.0
ISIC_0024781,1.0
ISIC_0032443,1.0
ISIC_0029127,1.0
ISIC_0031550,0.0
ISIC_0029779,0.0
ISIC_0028450,1.0
ISIC_0031698,0.0
ISIC_0026880,1.0
ISIC_0026538,0.0
ISIC_0028923,1.0
ISIC_0031029,0.0
ISIC_0026507,1.0
ISIC_0028332,1.0
ISIC_0024371,0.0
ISIC_0030853,1.0
ISIC_0033697,1.0
ISIC_0024410,0.0
ISIC_0024672,0.0
ISIC_0027947,1.0
ISIC_0024638,1.0
ISIC_0033470,0.0
ISIC_0033587,0.0
ISIC_0024492,1.0
ISIC_0026287,1.0
ISIC_0029467,1.0
ISIC_0024481,0.0
ISIC_0025216,1.0
ISIC_0031231,1.0
ISIC_0032503,1.0
ISIC_0028317,0.0
ISIC_0027498,1.0
ISIC_0029608,0.0
ISIC_0029715,0.0
ISIC_0033893,0.0
ISIC_0031974,1.0
ISIC_0031266,0.0
ISIC_0033986,0.0
ISIC_0026981,0.0
ISIC_0032197,0.0
ISIC_0028410,0.0
ISIC_0027580,0.0
ISIC_0028079,0.0
ISIC_0031663,1.0
ISIC_0025963,0.0
ISIC_0025314,0.0
ISIC_0033545,0.0
ISIC_0030744,0.0
ISIC_0031983,1.0
ISIC_0029880,0.0
ISIC_0025350,0.0
ISIC_0027998,0.0
ISIC_0033863,0.0
ISIC_0030950,0.0
ISIC_0031256,1.0
ISIC_0027090,0.0
ISIC_0030232,1.0
ISIC_0024782,0.0
ISIC_0028422,1.0
ISIC_0026848,0.0
ISIC_0031224,1.0
ISIC_0033458,0.0
ISIC_0028243,1.0
ISIC_0028165,0.0
ISIC_0032840,0.0
ISIC_0028889,1.0
ISIC_0029698,0.0
ISIC_0027454,0.0
ISIC_0031178,1.0
ISIC_0030361,1.0
ISIC_0033306,0.0
