image,NV
ISIC_0029734,1.0
ISIC_0033725,0.0
ISIC_0026828,1.0
ISIC_0032695,0.0
ISIC_0033636,0.0
ISIC_0029669,0.0
ISIC_0028430,1.0
ISIC_0028473,0.0
ISIC_0029702,1.0
ISIC_0032949,0.0
ISIC_0033621,1.0
ISIC_0027419,0.0
ISIC_0029974,0.0
ISIC_0030854,1.0
ISIC_0028546,1.0
ISIC_0027651,0.0
ISIC_0031036,1.0
ISIC_0027781,0.0
ISIC_0034125,0.0
ISIC_0032787,1.0
ISIC_0027967,0.0
ISIC_0028846,0.0
ISIC_0032093,1.0
ISIC_0029187,1.0
ISIC_0030455,1.0
ISIC_0032626,0.0
ISIC_0027559,0.0
ISIC_0030031,0.0
ISIC_0026796,0.0
ISIC_0033220,1.0
ISIC_0031252,1.0
ISIC_0027673,0.0
ISIC_0029892,1.0
ISIC_0028941,0.0
ISIC_0032213,1.0
ISIC_0026580,1.0
ISIC_0028918,1.0
ISIC_0033397,0.0
ISIC_0031665,1.0
ISIC_0028558,0.0
ISIC_0025577,0.0
ISIC_0033885,0.0
ISIC_0028960,1.0
ISIC_0024430,1.0
ISIC_0028891,1.0
ISIC_0032304,0.0
ISIC_0031496,0.0
ISIC_0025822,1.0
ISIC_0025040,0.0
ISIC_0027283,1.0
ISIC_0032226,1.0
ISIC_0027589,1.0
ISIC_0029959,1.0
ISIC_0026901,1.0
ISIC_0031969,1.0
ISIC_0025751,0.0
ISIC_0029081,0.0
ISIC_0033831,0.0
ISIC_0030493,1.0
ISIC_0034094,0.0
ISIC_0029101,0.0
ISIC_0033918,1.0
ISIC_0028088,1.0
ISIC_0026485,1.0
ISIC_0033959,1.0
ISIC_0027374,0.0
ISIC_0033034,0.0
ISIC_0026778,1.0
ISIC_0025023,1.0
ISIC_0032456,0.0
ISIC_0033714,1.0
ISIC_0024767,0.0
ISIC_0026362,0.0
ISIC_0026343,0.0
ISIC_0031543,0.0
ISIC_0028166,1.0
ISIC_0026769,0.0
ISIC_0026549,0.0
ISIC_0033444,0.0
ISIC_0032489,1.0
ISIC_0025062,1.0
ISIC_0028772,1.0
ISIC_0025958,1.0
ISIC_0027916,0.0
ISIC_0031573,1.0
ISIC_0031785,1.0
ISIC_0031870,1.0
ISIC_0025300,1.0
ISIC_0030576,1.0
ISIC_0033790,0.0
ISIC_0032205,1.0
ISIC_0032869,0.0
ISIC_0028493,0.0
ISIC_0025706,1.0
ISIC_0024736,1.0
ISIC_0029857,0.0
ISIC_0027748,1.0
ISIC_0028847,0.0
ISIC_0029819,0.0
ISIC_0025584,0.0
ISIC_0029518,0.0
ISIC_0026760,0.0
ISIC_0029412,0.0
ISIC_0028492,1.0
ISIC_0030210,1.0
ISIC_0027745,0.0
ISIC_0027841,1.0
ISIC_0028937,0.0
ISIC_0028232,0.0
ISIC_0026731,1.0
ISIC_0026009,0.0
ISIC_0026238,1.0
ISIC_0026877,0.0
ISIC_0026358,1.0
ISIC_0028653,0.0
ISIC_0030469,1.0
ISIC_0026100,0.0
ISIC_0025920,1.0
ISIC_0033124,0.0
ISIC_0026016,0.0
ISIC_0028758,1.0
ISIC_0026422,0.0
ISIC_0029913,0.0
ISIC_0026857,0.0
ISIC_0026413,1.0
ISIC_0033369,0.0
ISIC_0031580,0.0
ISIC_0031121,1.0
ISIC_0028420,1.0
ISIC_0028381,0.0
ISIC_0031614,0.0
ISIC_0030015,0.0
ISIC_0034053,1.0
ISIC_0027181,1.0
ISIC_0024743,0.0
ISIC_0031383,1.0
ISIC_0032496,1.0
ISIC_0024922,1.0
ISIC_0033582,0.0
ISIC_0033238,0.0
ISIC_0024972,0.0
ISIC_0026441,0.0
ISIC_0034079,1.0
ISIC_0033062,1.0
ISIC_0027556,1.0
ISIC_0031851,0.0
ISIC_0026878,1.0
ISIC_0027388,0.0
ISIC_0027372,1.0
ISIC_0029193,0.0
ISIC_0032691,1.0
ISIC_0028068,1.0
ISIC_0029645,1.0
ISIC_0032985,0.0
ISIC_0030844,0.0
ISIC_0034120,0.0
ISIC_0031560,1.0
ISIC_0032022,0.0
ISIC_0028823,1.0
ISIC_0028628,0.0
ISIC_0025781,0.0
ISIC_0026435,1.0
ISIC_0024744,1.0
ISIC_0029360,0.0
ISIC_0024913,0.0
ISIC_0033056,0.0
ISIC_0031886,1.0
ISIC_0034106,0.0
ISIC_0033985,0.0
ISIC_0028451,0.0
ISIC_0026925,1.0
ISIC_0030957,1.0
ISIC_0031746,0.0
ISIC_0029705,0.0
ISIC_0029135,0.0
ISIC_0033611,0.0
ISIC_0033716,0.0
ISIC_0027067,0.0
ISIC_0031204,1.0
ISIC_0034089,0.0
ISIC_0029043,0.0
ISIC_0032960,0.0
ISIC_0026286,0.0
ISIC_0026795,1.0
ISIC_0028676,1.0
ISIC_0025835,0.0
ISIC_0028049,1.0
ISIC_0031289,0.0
ISIC_0032958,0.0
ISIC_0029331,0.0
ISIC_0026565,1.0
ISIC_0030776,1.0
ISIC_0029547,0.0
ISIC_0032457,1.0
ISIC_0024462,1.0
ISIC_0026058,1.0
ISIC_0027327,0.0
ISIC_0032422,0.0
ISIC_0025245,1.0
ISIC_0031358,0.0
ISIC_0033962,0.0
ISIC_0028950,1.0
ISIC_0028649,1.0
ISIC_0034158,1.0
ISIC_0026532,0.0
ISIC_0029192,0.0
ISIC_0031209,1.0
ISIC_0029194,1.0
ISIC_0025620,1.0
ISIC_0030019,1.0
ISIC_0031609,0.0
ISIC_0033498,0.0
ISIC_0024612,0.0
ISIC_0027993,1.0
ISIC_0031197,0.0
ISIC_0034259,0.0
ISIC_0025032,0.0
ISIC_0024989,1.0
ISIC_0032735,1.0
ISIC_0029287,1.0
ISIC_0031702,0.0
ISIC_0025265,0.0
ISIC_0030402,1.0
ISIC_0032963,0.0
ISIC_0032473,1.0
ISIC_0034284,0.0
ISIC_0027039,1.0
ISIC_0032517,0.0
ISIC_0032522,0.0
ISIC_0030907,1.0
ISIC_0025014,1.0
ISIC_0025238,0.0
ISIC_0034194,1.0
ISIC_0030959,0.0
ISIC_0030550,1.0
ISIC_0024701,0.0
ISIC_0024487,1.0
ISIC_0032143,1.0
ISIC_0025771,0.0
ISIC_0027973,0.0
ISIC_0029838,1.0
ISIC_0031384,0.0
ISIC_0027061,1.0
ISIC_0027204,0.0
ISIC_0032782,0.0
ISIC_0033736,0.0
ISIC_0030898,0.0
ISIC_0029036,0.0
ISIC_0027053,0.0
ISIC_0033050,0.0
ISIC_0026835,0.0
ISIC_0031612,1.0
ISIC_0032660,0.0
ISIC_0025671,1.0
ISIC_0026733,1.0
ISIC_0029225,1.0
ISIC_0029483,1.0
ISIC_0033940,1.0
ISIC_0032537,0.0
ISIC_0025776,1.0
ISIC_0034117,0.0
ISIC_0029051,0.0
ISIC_0025076,0.0
ISIC_0030670,1.0
ISIC_0034085,0.0
ISIC_0030991,0.0
ISIC_0032548,1.0
ISIC_0032441,0.0
ISIC_0025373,0.0
ISIC_0027503,1.0
ISIC_0031188,1.0
ISIC_0034191,1.0
ISIC_0031129,1.0
ISIC_0030759,0.0
ISIC_0030562,1.0
ISIC_0027552,0.0
ISIC_0030700,0.0
ISIC_0029039,0.0
ISIC_0029850,1.0
ISIC_0029574,0.0
ISIC_0029571,0.0
ISIC_0033080,1.0
ISIC_0025799,0.0
ISIC_0027413,1.0
ISIC_0026923,0.0
ISIC_0033705,0.0
ISIC_0028506,1.0
ISIC_0032476,0.0
ISIC_0026741,1.0
ISIC_0032394,1.0
ISIC_0024444,1.0
ISIC_0030036,0.0
ISIC_0029177,0.0
ISIC_0025169,1.0
ISIC_0032017,0.0
ISIC_0025108,1.0
ISIC_0024620,1.0
ISIC_0031075,1.0
ISIC_0026493,0.0
ISIC_0028779,1.0
ISIC_0024837,1.0
ISIC_0028835,1.0
ISIC_0027050,1.0
ISIC_0024425,1.0
ISIC_0025687,1.0
