image,NV,VASC,OTHER
ISIC_0031458,1.0,0.0,0.0
ISIC_0024498,0.0,0.0,1.0
ISIC_0030172,0.0,0.0,1.0
ISIC_0029404,0.0,1.0,0.0
ISIC_0025059,1.0,0.0,0.0
ISIC_0033230,0.0,1.0,0.0
ISIC_0024706,0.0,1.0,0.0
ISIC_0026346,1.0,0.0,0.0
ISIC_0032522,0.0,0.0,1.0
ISIC_0030770,0.0,1.0,0.0
ISIC_0028406,0.0,1.0,0.0
ISIC_0029296,1.0,0.0,0.0
ISIC_0027563,0.0,1.0,0.0
ISIC_0032506,1.0,0.0,0.0
ISIC_0025244,0.0,1.0,0.0
ISIC_0026490,0.0,1.0,0.0
ISIC_0029799,1.0,0.0,0.0
ISIC_0032839,0.0,1.0,0.0
ISIC_0034106,0.0,0.0,1.0
ISIC_0027528,1.0,0.0,0.0
ISIC_0030128,1.0,0.0,0.0
ISIC_0032937,1.0,0.0,0.0
ISIC_0025321,0.0,1.0,0.0
ISIC_0034297,1.0,0.0,0.0
ISIC_0028670,0.0,0.0,1.0
ISIC_0032204,0.0,0.0,1.0
ISIC_0030374,1.0,0.0,0.0
ISIC_0032007,1.0,0.0,0.0
ISIC_0027077,1.0,0.0,0.0
ISIC_0031270,0.0,1.0,0.0
ISIC_0033195,0.0,0.0,1.0
ISIC_0033416,0.0,0.0,1.0
ISIC_0029156,1.0,0.0,0.0
ISIC_0029543,1.0,0.0,0.0
ISIC_0025680,0.0,1.0,0.0
ISIC_0031215,0.0,1.0,0.0
ISIC_0025440,1.0,0.0,0.0
ISIC_0031459,0.0,0.0,1.0
ISIC_0027666,1.0,0.0,0.0
ISIC_0034303,0.0,0.0,1.0
ISIC_0026796,0.0,0.0,1.0
ISIC_0031744,1.0,0.0,0.0
ISIC_0026696,1.0,0.0,0.0
ISIC_0025579,1.0,0.0,0.0
ISIC_0033031,0.0,1.0,0.0
ISIC_0030782,0.0,0.0,1.0
ISIC_0030070,0.0,1.0,0.0
ISIC_0030956,0.0,1.0,0.0
ISIC_0026667,1.0,0.0,0.0
ISIC_0033608,0.0,1.0,0.0
ISIC_0032462,0.0,0.0,1.0
ISIC_0024375,0.0,1.0,0.0
ISIC_0032299,1.0,0.0,0.0
ISIC_0031648,0.0,1.0,0.0
ISIC_0032417,0.0,0.0,1.0
ISIC_0029032,0.0,0.0,1.0
ISIC_0029877,0.0,1.0,0.0
ISIC_0026092,0.0,1.0,0.0
ISIC_0026876,0.0,1.0,0.0
ISIC_0029279,0.0,0.0,1.0
ISIC_0028995,0.0,0.0,1.0
ISIC_0031820,1.0,0.0,0.0
ISIC_0032311,1.0,0.0,0.0
ISIC_0030725,1.0,0.0,0.0
ISIC_0029539,0.0,0.0,1.0
ISIC_0031276,0.0,1.0,0.0
ISIC_0028331,0.0,0.0,1.0
ISIC_0033262,0.0,0.0,1.0
ISIC_0024747,0.0,1.0,0.0
ISIC_0029418,0.0,0.0,1.0
ISIC_0033458,0.0,1.0,0.0
ISIC_0033900,0.0,0.0,1.0
ISIC_0031424,0.0,0.0,1.0
ISIC_0028091,1.0,0.0,0.0
ISIC_0026078,1.0,0.0,0.0
ISIC_0030124,0.0,0.0,1.0
ISIC_0026088,1.0,0.0,0.0
ISIC_0024463,0.0,0.0,1.0
ISIC_0028394,1.0,0.0,0.0
ISIC_0027229,0.0,0.0,1.0
ISIC_0026865,0.0,0.0,1.0
ISIC_0031978,1.0,0.0,0.0
ISIC_0033176,1.0,0.0,0.0
ISIC_0031215,0.0,1.0,0.0
ISIC_0033061,0.0,0.0,1.0
ISIC_0031481,1.0,0.0,0.0
ISIC_0027407,0.0,0.0,1.0
ISIC_0031331,1.0,0.0,0.0
ISIC_0033499,0.0,0.0,1.0
ISIC_0030720,1.0,0.0,0.0
ISIC_0030705,0.0,0.0,1.0
ISIC_0026740,1.0,0.0,0.0
ISIC_0030070,0.0,1.0,0.0
ISIC_0026794,0.0,0.0,1.0
ISIC_0025400,1.0,0.0,0.0
ISIC_0025596,0.0,1.0,0.0
ISIC_0027073,1.0,0.0,0.0
ISIC_0028968,0.0,0.0,1.0
ISIC_0033565,0.0,1.0,0.0
ISIC_0032409,0.0,1.0,0.0
ISIC_0024662,0.0,1.0,0.0
ISIC_0031257,0.0,0.0,1.0
ISIC_0034214,0.0,1.0,0.0
ISIC_0027076,0.0,0.0,1.0
ISIC_0027385,0.0,1.0,0.0
ISIC_0028688,0.0,0.0,1.0
ISIC_0025578,0.0,1.0,0.0
ISIC_0028223,0.0,0.0,1.0
ISIC_0031201,0.0,1.0,0.0
ISIC_0024706,0.0,1.0,0.0
ISIC_0030770,0.0,1.0,0.0
ISIC_0026637,0.0,0.0,1.0
ISIC_0026264,1.0,0.0,0.0
ISIC_0032715,0.0,1.0,0.0
ISIC_0031569,0.0,0.0,1.0
ISIC_0030090,1.0,0.0,0.0
ISIC_0033230,0.0,1.0,0.0
ISIC_0028238,0.0,0.0,1.0
ISIC_0033149,1.0,0.0,0.0
ISIC_0028473,0.0,0.0,1.0
ISIC_0027665,0.0,1.0,0.0
ISIC_0031648,0.0,1.0,0.0
ISIC_0027114,1.0,0.0,0.0
