image,NV,VASC,OTHER
ISIC_0025612,0.0,1.0,0.0
ISIC_0026567,0.0,0.0,1.0
ISIC_0029107,0.0,0.0,1.0
ISIC_0028666,0.0,0.0,1.0
ISIC_0028156,0.0,0.0,1.0
ISIC_0030001,1.0,0.0,0.0
ISIC_0033172,1.0,0.0,0.0
ISIC_0024895,1.0,0.0,0.0
ISIC_0033301,0.0,0.0,1.0
ISIC_0025612,0.0,1.0,0.0
ISIC_0024709,0.0,0.0,1.0
ISIC_0027882,1.0,0.0,0.0
ISIC_0026448,1.0,0.0,0.0
ISIC_0034255,0.0,0.0,1.0
ISIC_0031157,1.0,0.0,0.0
ISIC_0028708,1.0,0.0,0.0
ISIC_0033908,0.0,0.0,1.0
ISIC_0028146,0.0,1.0,0.0
ISIC_0032946,1.0,0.0,0.0
ISIC_0025321,0.0,1.0,0.0
ISIC_0027256,0.0,1.0,0.0
ISIC_0028079,0.0,0.0,1.0
ISIC_0030951,0.0,0.0,1.0
ISIC_0026139,0.0,0.0,1.0
ISIC_0025824,0.0,0.0,1.0
ISIC_0025244,0.0,1.0,0.0
ISIC_0031901,0.0,1.0,0.0
ISIC_0033565,0.0,1.0,0.0
ISIC_0025273,1.0,0.0,0.0
ISIC_0025613,1.0,0.0,0.0
ISIC_0033747,0.0,0.0,1.0
ISIC_0032563,1.0,0.0,0.0
ISIC_0033724,1.0,0.0,0.0
ISIC_0030515,1.0,0.0,0.0
ISIC_0030517,1.0,0.0,0.0
ISIC_0024892,1.0,0.0,0.0
ISIC_0033092,0.0,1.0,0.0
ISIC_0026349,0.0,1.0,0.0
ISIC_0028198,0.0,0.0,1.0
ISIC_0031582,1.0,0.0,0.0
ISIC_0033749,0.0,1.0,0.0
ISIC_0029814,1.0,0.0,0.0
ISIC_0024787,0.0,0.0,1.0
ISIC_0032681,0.0,0.0,1.0
ISIC_0024325,1.0,0.0,0.0
ISIC_0027902,1.0,0.0,0.0
ISIC_0033810,0.0,0.0,1.0
ISIC_0029877,0.0,1.0,0.0
ISIC_0024669,0.0,1.0,0.0
ISIC_0031295,0.0,0.0,1.0
ISIC_0026375,1.0,0.0,0.0
ISIC_0026517,1.0,0.0,0.0
ISIC_0033749,0.0,1.0,0.0
ISIC_0025970,1.0,0.0,0.0
ISIC_0025625,1.0,0.0,0.0
ISIC_0028050,0.0,0.0,1.0
ISIC_0030093,1.0,0.0,0.0
ISIC_0029468,1.0,0.0,0.0
ISIC_0024475,0.0,1.0,0.0
ISIC_0033036,1.0,0.0,0.0
ISIC_0027937,0.0,1.0,0.0
ISIC_0030010,0.0,0.0,1.0
ISIC_0033425,1.0,0.0,0.0
ISIC_0025707,0.0,1.0,0.0
ISIC_0033523,0.0,0.0,1.0
ISIC_0033925,0.0,0.0,1.0
ISIC_0026336,0.0,1.0,0.0
ISIC_0025425,0.0,1.0,0.0
ISIC_0033012,0.0,0.0,1.0
ISIC_0030723,0.0,0.0,1.0
ISIC_0032790,0.0,0.0,1.0
ISIC_0026289,1.0,0.0,0.0
ISIC_0024720,1.0,0.0,0.0
ISIC_0029742,0.0,1.0,0.0
ISIC_0025578,0.0,1.0,0.0
ISIC_0032547,0.0,0.0,1.0
ISIC_0031149,1.0,0.0,0.0
ISIC_0025225,1.0,0.0,0.0
ISIC_0027994,1.0,0.0,0.0
ISIC_0029591,0.0,0.0,1.0
ISIC_0031719,0.0,1.0,0.0
ISIC_0034243,0.0,0.0,1.0
ISIC_0028295,1.0,0.0,0.0
ISIC_0026666,1.0,0.0,0.0
ISIC_0032630,0.0,0.0,1.0
ISIC_0031562,1.0,0.0,0.0
ISIC_0026349,0.0,1.0,0.0
ISIC_0032538,0.0,1.0,0.0
ISIC_0031402,1.0,0.0,0.0
ISIC_0024604,1.0,0.0,0.0
ISIC_0033031,0.0,1.0,0.0
ISIC_0031588,1.0,0.0,0.0
ISIC_0025780,0.0,0.0,1.0
ISIC_0032932,0.0,1.0,0.0
ISIC_0029175,1.0,0.0,0.0
ISIC_0030608,0.0,0.0,1.0
ISIC_0034117,0.0,0.0,1.0
ISIC_0025219,0.0,0.0,1.0
ISIC_0033573,0.0,0.0,1.0
ISIC_0024774,0.0,0.0,1.0
ISIC_0026142,0.0,0.0,1.0
ISIC_0032890,0.0,1.0,0.0
ISIC_0028519,0.0,0.0,1.0
ISIC_0032333,1.0,0.0,0.0
ISIC_0031738,0.0,0.0,1.0
ISIC_0029439,0.0,1.0,0.0
ISIC_0030339,0.0,0.0,1.0
ISIC_0033565,0.0,1.0,0.0
ISIC_0027790,0.0,1.0,0.0
ISIC_0034246,0.0,0.0,1.0
ISIC_0027256,0.0,1.0,0.0
ISIC_0026336,0.0,1.0,0.0
ISIC_0033232,0.0,0.0,1.0
ISIC_0025584,0.0,0.0,1.0
ISIC_0032932,0.0,1.0,0.0
ISIC_0031494,0.0,0.0,1.0
ISIC_0024786,0.0,0.0,1.0
ISIC_0025612,0.0,1.0,0.0
ISIC_0032491,1.0,0.0,0.0
ISIC_0032057,0.0,1.0,0.0
ISIC_0033762,0.0,1.0,0.0
ISIC_0032557,0.0,1.0,0.0
ISIC_0024571,0.0,0.0,1.0
ISIC_0027017,0.0,0.0,1.0
ISIC_0029688,1.0,0.0,0.0
ISIC_0027850,0.0,0.0,1.0
ISIC_0033552,1.0,0.0,0.0
ISIC_0030868,0.0,0.0,1.0
ISIC_0031270,0.0,1.0,0.0
ISIC_0030275,0.0,1.0,0.0
ISIC_0027563,0.0,1.0,0.0
ISIC_0024862,1.0,0.0,0.0
ISIC_0024724,1.0,0.0,0.0
ISIC_0026359,1.0,0.0,0.0
ISIC_0027672,0.0,1.0,0.0
ISIC_0029550,1.0,0.0,0.0
ISIC_0025425,0.0,1.0,0.0
ISIC_0027919,1.0,0.0,0.0
ISIC_0027800,1.0,0.0,0.0
ISIC_0034080,1.0,0.0,0.0
ISIC_0033991,0.0,1.0,0.0
ISIC_0033608,0.0,1.0,0.0
ISIC_0025924,0.0,1.0,0.0
ISIC_0029501,0.0,0.0,1.0
ISIC_0025452,0.0,1.0,0.0
ISIC_0030759,0.0,0.0,1.0
ISIC_0029520,1.0,0.0,0.0
ISIC_0025623,0.0,0.0,1.0
ISIC_0032255,1.0,0.0,0.0
ISIC_0024786,0.0,0.0,1.0
ISIC_0026959,0.0,0.0,1.0
ISIC_0033349,0.0,1.0,0.0
ISIC_0033158,0.0,1.0,0.0
ISIC_0028976,1.0,0.0,0.0
ISIC_0025963,0.0,0.0,1.0
ISIC_0024867,0.0,1.0,0.0
ISIC_0033316,1.0,0.0,0.0
ISIC_0027009,1.0,0.0,0.0
ISIC_0032672,0.0,0.0,1.0
ISIC_0031201,0.0,1.0,0.0
ISIC_0032890,0.0,1.0,0.0
ISIC_0033817,0.0,1.0,0.0
ISIC_0027269,0.0,1.0,0.0
ISIC_0029860,0.0,0.0,1.0
ISIC_0029412,0.0,0.0,1.0
ISIC_0025627,0.0,0.0,1.0
ISIC_0032406,1.0,0.0,0.0
ISIC_0033591,0.0,1.0,0.0
ISIC_0024706,0.0,1.0,0.0
ISIC_0029397,0.0,0.0,1.0
ISIC_0030728,1.0,0.0,0.0
ISIC_0033880,1.0,0.0,0.0
ISIC_0032839,0.0,1.0,0.0
ISIC_0025005,0.0,0.0,1.0
ISIC_0027345,1.0,0.0,0.0
ISIC_0029448,0.0,1.0,0.0
ISIC_0029372,0.0,0.0,1.0
ISIC_0033673,1.0,0.0,0.0
ISIC_0034252,0.0,0.0,1.0
ISIC_0026655,1.0,0.0,0.0
ISIC_0034134,0.0,0.0,1.0
ISIC_0025303,0.0,0.0,1.0
ISIC_0030104,0.0,1.0,0.0
ISIC_0032745,0.0,1.0,0.0
ISIC_0025772,1.0,0.0,0.0
ISIC_0026336,0.0,1.0,0.0
ISIC_0030956,0.0,1.0,0.0
ISIC_0030883,0.0,0.0,1.0
ISIC_0030271,0.0,0.0,1.0
ISIC_0030328,1.0,0.0,0.0
ISIC_0032692,0.0,1.0,0.0
ISIC_0025578,0.0,1.0,0.0
ISIC_0026744,0.0,0.0,1.0
ISIC_0025063,0.0,0.0,1.0
ISIC_0029654,1.0,0.0,0.0
ISIC_0029031,0.0,0.0,1.0
ISIC_0030143,0.0,0.0,1.0
ISIC_0032855,1.0,0.0,0.0
ISIC_0032240,0.0,1.0,0.0
ISIC_0025886,1.0,0.0,0.0
ISIC_0027786,0.0,0.0,1.0
ISIC_0031197,0.0,1.0,0.0
ISIC_0029596,0.0,0.0,1.0
ISIC_0027622,0.0,0.0,1.0
ISIC_0031428,0.0,0.0,1.0
ISIC_0033546,0.0,0.0,1.0
ISIC_0026290,0.0,0.0,1.0
ISIC_0025612,0.0,1.0,0.0
ISIC_0028096,1.0,0.0,0.0
ISIC_0025197,0.0,1.0,0.0
ISIC_0030143,0.0,0.0,1.0
ISIC_0024370,0.0,1.0,0.0
ISIC_0031996,0.0,1.0,0.0
ISIC_0026349,0.0,1.0,0.0
ISIC_0029392,0.0,0.0,1.0
ISIC_0025239,1.0,0.0,0.0
ISIC_0033601,0.0,0.0,1.0
ISIC_0024498,0.0,0.0,1.0
ISIC_0031276,0.0,1.0,0.0
ISIC_0029925,1.0,0.0,0.0
ISIC_0032545,0.0,1.0,0.0
ISIC_0027376,1.0,0.0,0.0
ISIC_0033186,0.0,0.0,1.0
ISIC_0027745,0.0,0.0,1.0
ISIC_0028344,1.0,0.0,0.0
ISIC_0029254,1.0,0.0,0.0
ISIC_0028041,0.0,0.0,1.0
ISIC_0030960,1.0,0.0,0.0
ISIC_0031215,0.0,1.0,0.0
ISIC_0033230,0.0,1.0,0.0
ISIC_0026473,0.0,0.0,1.0
ISIC_0033762,0.0,1.0,0.0
ISIC_0028146,0.0,1.0,0.0
ISIC_0026490,0.0,1.0,0.0
ISIC_0026693,0.0,1.0,0.0
ISIC_0028651,0.0,0.0,1.0
ISIC_0028402,1.0,0.0,0.0
ISIC_0031065,0.0,1.0,0.0
ISIC_0024760,0.0,0.0,1.0
ISIC_0029794,1.0,0.0,0.0
ISIC_0032542,1.0,0.0,0.0
ISIC_0031840,1.0,0.0,0.0
ISIC_0025717,1.0,0.0,0.0
ISIC_0033848,0.0,0.0,1.0
ISIC_0031966,1.0,0.0,0.0
ISIC_0028499,0.0,0.0,1.0
ISIC_0032890,0.0,1.0,0.0
ISIC_0030104,0.0,1.0,0.0
ISIC_0031648,0.0,1.0,0.0
ISIC_0031215,0.0,1.0,0.0
ISIC_0027147,1.0,0.0,0.0
ISIC_0033294,1.0,0.0,0.0
ISIC_0031398,1.0,0.0,0.0
ISIC_0024370,0.0,1.0,0.0
ISIC_0032879,0.0,0.0,1.0
ISIC_0031270,0.0,1.0,0.0
ISIC_0032866,0.0,1.0,0.0
ISIC_0032867,0.0,1.0,0.0
ISIC_0030258,0.0,0.0,1.0
ISIC_0031201,0.0,1.0,0.0
ISIC_0033135,0.0,1.0,0.0
ISIC_0025117,1.0,0.0,0.0
ISIC_0025604,1.0,0.0,0.0
ISIC_0026565,1.0,0.0,0.0
ISIC_0030275,0.0,1.0,0.0
ISIC_0033875,1.0,0.0,0.0
ISIC_0031996,0.0,1.0,0.0
ISIC_0025249,0.0,1.0,0.0
ISIC_0024662,0.0,1.0,0.0
ISIC_0027486,1.0,0.0,0.0
ISIC_0032409,0.0,1.0,0.0
ISIC_0027000,1.0,0.0,0.0
ISIC_0032099,0.0,0.0,1.0
ISIC_0027155,0.0,0.0,1.0
