image,NV,VASC,OTHER
ISIC_0034188,0.0,0.0,1.0
ISIC_0028912,1.0,0.0,0.0
ISIC_0031519,0.0,0.0,1.0
ISIC_0029448,0.0,1.0,0.0
ISIC_0025639,1.0,0.0,0.0
ISIC_0025807,0.0,1.0,0.0
ISIC_0030904,1.0,0.0,0.0
ISIC_0026760,0.0,0.0,1.0
ISIC_0032023,1.0,0.0,0.0
ISIC_0027662,1.0,0.0,0.0
ISIC_0024398,1.0,0.0,0.0
ISIC_0027900,0.0,0.0,1.0
ISIC_0029715,0.0,0.0,1.0
ISIC_0025229,1.0,0.0,0.0
ISIC_0033212,0.0,0.0,1.0
ISIC_0032692,0.0,1.0,0.0
ISIC_0026456,0.0,1.0,0.0
ISIC_0033559,0.0,0.0,1.0
ISIC_0032888,0.0,0.0,1.0
ISIC_0030342,1.0,0.0,0.0
ISIC_0029570,0.0,0.0,1.0
ISIC_0026077,1.0,0.0,0.0
ISIC_0032619,1.0,0.0,0.0
ISIC_0025047,1.0,0.0,0.0
ISIC_0033731,1.0,0.0,0.0
ISIC_0033923,1.0,0.0,0.0
ISIC_0026200,1.0,0.0,0.0
ISIC_0026628,1.0,0.0,0.0
ISIC_0031186,0.0,0.0,1.0
ISIC_0032692,0.0,1.0,0.0
ISIC_0033105,1.0,0.0,0.0
ISIC_0030822,0.0,0.0,1.0
ISIC_0026490,0.0,1.0,0.0
ISIC_0033651,0.0,0.0,1.0
ISIC_0029554,1.0,0.0,0.0
ISIC_0032662,0.0,0.0,1.0
ISIC_0032129,0.0,0.0,1.0
ISIC_0031955,0.0,1.0,0.0
ISIC_0030475,1.0,0.0,0.0
ISIC_0030606,0.0,1.0,0.0
ISIC_0031284,0.0,0.0,1.0
ISIC_0025606,0.0,1.0,0.0
ISIC_0033192,0.0,0.0,1.0
ISIC_0028826,0.0,0.0,1.0
ISIC_0027854,1.0,0.0,0.0
ISIC_0025250,0.0,1.0,0.0
ISIC_0028703,1.0,0.0,0.0
ISIC_0025707,0.0,1.0,0.0
ISIC_0028372,0.0,0.0,1.0
ISIC_0033465,0.0,0.0,1.0
ISIC_0031034,0.0,0.0,1.0
ISIC_0027367,0.0,0.0,1.0
ISIC_0027903,0.0,1.0,0.0
ISIC_0028847,0.0,0.0,1.0
ISIC_0029328,1.0,0.0,0.0
ISIC_0026171,0.0,0.0,1.0
ISIC_0033458,0.0,1.0,0.0
ISIC_0026275,0.0,0.0,1.0
ISIC_0034100,0.0,0.0,1.0
ISIC_0030578,1.0,0.0,0.0
ISIC_0029773,1.0,0.0,0.0
ISIC_0025132,0.0,0.0,1.0
ISIC_0027159,0.0,1.0,0.0
ISIC_0030214,1.0,0.0,0.0
ISIC_0031826,1.0,0.0,0.0
ISIC_0032839,0.0,1.0,0.0
ISIC_0024811,1.0,0.0,0.0
ISIC_0024995,1.0,0.0,0.0
ISIC_0024662,0.0,1.0,0.0
ISIC_0025452,0.0,1.0,0.0
ISIC_0032690,0.0,0.0,1.0
ISIC_0031971,0.0,0.0,1.0
ISIC_0029138,1.0,0.0,0.0
ISIC_0025439,0.0,0.0,1.0
ISIC_0032835,0.0,0.0,1.0
ISIC_0031706,0.0,1.0,0.0
ISIC_0030692,1.0,0.0,0.0
ISIC_0027303,0.0,0.0,1.0
ISIC_0026876,0.0,1.0,0.0
ISIC_0031996,0.0,1.0,0.0
ISIC_0032867,0.0,1.0,0.0
ISIC_0033608,0.0,1.0,0.0
ISIC_0028331,0.0,0.0,1.0
ISIC_0027277,0.0,0.0,1.0
ISIC_0027316,1.0,0.0,0.0
ISIC_0032587,1.0,0.0,0.0
ISIC_0026940,0.0,0.0,1.0
ISIC_0031759,0.0,1.0,0.0
ISIC_0031706,0.0,1.0,0.0
ISIC_0033230,0.0,1.0,0.0
ISIC_0028830,0.0,0.0,1.0
ISIC_0029855,1.0,0.0,0.0
ISIC_0024475,0.0,1.0,0.0
ISIC_0025628,0.0,1.0,0.0
ISIC_0033031,0.0,1.0,0.0
ISIC_0029099,0.0,1.0,0.0
ISIC_0029235,0.0,0.0,1.0
ISIC_0033135,0.0,1.0,0.0
ISIC_0026277,0.0,0.0,1.0
ISIC_0025438,1.0,0.0,0.0
ISIC_0027159,0.0,1.0,0.0
ISIC_0030698,0.0,0.0,1.0
ISIC_0031703,1.0,0.0,0.0
ISIC_0032557,0.0,1.0,0.0
ISIC_0031719,0.0,1.0,0.0
ISIC_0032160,1.0,0.0,0.0
ISIC_0030835,0.0,0.0,1.0
ISIC_0034249,1.0,0.0,0.0
ISIC_0031955,0.0,1.0,0.0
ISIC_0025599,0.0,1.0,0.0
ISIC_0027826,0.0,0.0,1.0
ISIC_0028397,1.0,0.0,0.0
ISIC_0028537,0.0,0.0,1.0
ISIC_0028936,1.0,0.0,0.0
ISIC_0027790,0.0,1.0,0.0
ISIC_0030275,0.0,1.0,0.0
ISIC_0030978,1.0,0.0,0.0
ISIC_0029076,1.0,0.0,0.0
ISIC_0028680,0.0,1.0,0.0
ISIC_0030956,0.0,1.0,0.0
ISIC_0030882,0.0,1.0,0.0
ISIC_0028203,1.0,0.0,0.0
